RECIPE_FILE_PATH,EXECUTION_DATE_TIME,EXECUTION_DURATION,EXCEPTIONS_SUMMARY
"src/main/resources/xmltobq/ODS/REPORTING_HO_ES_23094_1/m_ODS_TRANSACTION_PCAM/_ETL_m_ODS_TRANSACTION_PCAM.json","2026/03/19 01:25:41.004","61","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_L_TG_PLAZO_INSERT/_ETL_m_DWH_L_TG_PLAZO_INSERT.json","2026/03/19 20:15:11.688","60","SUCCESS"
"src/main/resources/xmltobq/ETL/m_DWH_E_MOD_CLIENTE_MOVIMIENTO_FI_TLP/_ETL_m_DWH_E_MOD_CLIENTE_MOVIMIENTO_FI_TLP.json","2026/03/19 15:11:15.602","59","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_TRANSF_RECIBIDA_EX_UPDATE/_ETL_m_DWH_D_TRANSF_RECIBIDA_EX_UPDATE.json","2026/03/19 13:16:31.145","59","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_LKP_COND_ESTD_TRAMO_UPDATE/_ETL_m_DWH_LKP_COND_ESTD_TRAMO_UPDATE.json","2026/03/19 13:11:27.252","59","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_MOD_TARGET_MARKET/_ETL_m_DM_MOD_TARGET_MARKET.json","2026/03/19 20:05:08.987","58","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_LKP_CONTRATOS_CAJAS_ALQ_UPDATE/_ETL_m_DWH_LKP_CONTRATOS_CAJAS_ALQ_UPDATE.json","2026/03/19 15:16:23.735","58","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_LKP_ACCESO_LOCAL_EB/_ETL_m_DM_LKP_ACCESO_LOCAL_EB.json","2026/03/19 15:07:52.675","58","SUCCESS"
"src/main/resources/xmltobq/CDM/m_DM_MOV_SEGUROS_CONTRATO/_ETL_m_DM_MOV_SEGUROS_CONTRATO.json","2026/03/19 20:16:13.160","57","SUCCESS"
"src/main/resources/xmltobq/ODS/REPORTING_HO_ES_23094_1/m_ODS_COLLATERAL_PROV_PCAM/_ETL_m_ODS_COLLATERAL_PROV_PCAM.json","2026/03/19 02:48:19.160","57","SUCCESS"
"src/main/resources/xmltobq/DWH/m_DWH_D_CONTRATOS_TARJETA_DELETE/_ETL_m_DWH_D_CONTRATOS_TARJETA_DELETE.json","2026/03/17 21:36:44.004","57","SUCCESS"
