cluster_name,worker_machine_type,worker_family,num_workers,max_workers_from_policy,total_cores,max_total_cores,strategy,bias_mode,topology_preset,diagnostic_signals
cluster-wf_spark_319,n2-highcpu-32,n2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_216,n2d-highcpu-32,n2d,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_45,n2-highcpu-2,n2,143,143,286,286,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_266,n2-highcpu-32,n2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_122,n2d-highcpu-32,n2d,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_285,n2d-highcpu-32,n2d,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_60,n2d-highcpu-2,n2d,25,25,50,50,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_308,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_30,n2d-highcpu-224,n2d,9,10,2016,2240,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_130,n2-highcpu-2,n2,5,6,10,12,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_226,e2-highcpu-32,e2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_115,e2-highcpu-32,e2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_338,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_88,n2-highcpu-96,n2,9,10,864,960,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_37,e2-highcpu-32,e2,18,18,576,576,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_133,e2-highcpu-32,e2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_367,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_230,n2-highcpu-16,n2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_314,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_219,e2-highcpu-32,e2,9,10,288,320,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_144,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_356,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_195,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_126,n2-highcpu-32,n2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_4,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_77,e2-highcpu-32,e2,20,20,640,640,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_325,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_255,n2-highcpu-32,n2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_205,n2-highcpu-32,n2,6,6,192,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_41,n2-highcpu-96,n2,11,11,1056,1056,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_241,e2-highcpu-32,e2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_151,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_48,e2-highcpu-32,e2,14,14,448,448,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_189,e2-highcpu-32,e2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_290,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_59,n2-highcpu-16,n2,2,4,32,64,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_298,n2-highcpu-32,n2,4,4,128,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_140,n2-highcpu-32,n2,3,4,96,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_52,e2-highcpu-32,e2,5,6,160,192,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_90,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_310,n2-highcpu-32,n2,2,4,64,128,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_207,e2-highcpu-32,e2,7,8,224,256,cost_biased,cost_biased,8cx1GBpc,""
cluster-wf_spark_129,e2-highcpu-32,e2,8,8,256,256,cost_biased,cost_biased,8cx1GBpc,""
