cluster_name,recipe_filename,avg_job_duration_ms
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TRT_09_DETALLES.json,772931.4285714285
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_IND_ANULACION_DELETE.json,771563
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_TIPO_NOVAC_CIRBE.json,770784.2857142857
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_DIEL_FILTROS_DELETE.json,769818.4285714286
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_TIPO_SERVICIO_DBLINE_UPDATE.json,769414.5714285714
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_MOT_EXENCION_COMISION_UPDATE.json,769378.5
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_D_HAIRCUTS_UPDATE.json,767635.8333333334
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_SITUACION_MOVIMIENTO_DELETE.json,766347.6666666666
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_TI6010_PARAM_LINEAS.json,765876.4285714285
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_CANAL_ACCESO_DBLINE_DELETE.json,765269.5
comparator-sg-insurances-and-pens3,_ETL_m_ODS_TSG_67.json,764631.3333333333
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_TIPO_INTERVENCION_UPDATE.json,764287
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_TG_GRUPO_BIEN.json,763745
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_CIR_CLAVE_GTIA.json,762897.5714285715
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_GARANTIA_INSERT.json,762879.1428571428
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_CLAVE_GARANTIA.json,761335.2857142857
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_GEST_MES.json,761232.1428571428
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DM_HIER_CTA_BAL_N6.json,761145.2857142858
cluster-wf-dmr-load-t-03-45-0345,_ETL_m_RDM_D_TIPO_CODIGO_VINC.json,759389.1428571427
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_L_TG_TIPO_BLOQUEO_UPDATE.json,758855.1666666666
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_TRANSACCION_UPDATE.json,758737.8571428572
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_CONTRATOS_DBLINE_INSERT.json,754552.2857142857
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_SIT_TARJETA_DBLINE_UPDATE.json,754477.1428571428
cluster-wf-dmr-load-e338500b-0300,_ETL_m_DWH_E_L_TG_TRAMO_VIA.json,754200.5714285714
cluster-wf-dwh-load-t-06-00-0600,_ETL_m_LOAD_LKP_CANAL_FISICO_INSERT.json,752071.5
