cluster_name,recipe_filename,p95_run_max_executors,avg_run_max_executors,runs
comparator-risk-data-base-es-29948,_ETL_m_ODS_RD_05_FR_OPER.json,8,6.714285714285714,7
stg-to-ods-odigo-contact-center-76,_ETL_m_ODS_ODIGO_TU_INBOUND.json,8,5.428571428571429,7
stg-to-ods-collateral-system-2550c,_ETL_m_ODS_TGR_20_MTO_CEE.json,8,5.833333333333333,7
stg-to-ods-mis-590-2-j,_ETL_m_ODS_MIS_MISJUAN.json,8,7.166666666666667,7
stg-to-ods-exposure-risk-29832-1-b,_ETL_m_ODS_SGR_REL_LIN_GARANTIAS.json,8,4,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TEX04.json,8,4,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TITOTAL.json,8,4,7
stg-to-ods-payments-544-2-e,_ETL_m_ODS_TEX40_INTRADIA.json,8,5.857142857142857,7
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_OUT_INTER_ACTA_MIFID.json,8,4.4,7
comparator-exposure-risk-29832-1-b,_ETL_m_ODS_SGR_BALANCE.json,8,5.285714285714286,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TSP_18_CLI_SRV_SPMP.json,8,5.5,7
stg-to-ods-tesoreria-22115-1-b,_ETL_m_ODS_TM_23_LIQ_AGRUP.json,8,5.2,7
comparator-partner-data-4433-1-l,_ETL_m_ODS_PD_PW131T_CLI_COMPLEMEN.json,8,5.571428571428571,7
cluster-wf-dwh-load-t-05-00-0500,_ETL_m_RDM_F_OPERACIONES_SMARAG_PAR.json,8,4,7
stg-to-ods-tf-imex-459-1-a,_ETL_m_ODS_OPDOLIM.json,8,6.5,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TEX41.json,8,7.2,7
stg-to-ods-card-processing-644-1-a,_ETL_m_ODS_TID05_EXTTRA.json,8,6.4,7
cluster-wf-load-info-83c7f70d-0730,_ETL_m_DWH_F_CONTRATOS_METRICAS_MIS.json,8,8,7
cluster-wf-load-info-1e0fd893-0800,_ETL_m_DWH_D_PROT_BALANCE_PAR.json,8,4.857142857142857,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TGL03.json,8,5.75,7
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_PROSPECT_CONTACT_DATA.json,8,5.666666666666667,7
cluster-wf-load-info-1e0fd893-0800,_ETL_m_DM_LKP_PROTOCOLO_INTEGRANTE_PAR.json,8,5.428571428571429,7
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_OUT_INTER_REFERENCIA.json,8,4.4,7
cluster-wf-load-info-c9c4d332-0530,_ETL_m_DWH_D_OPERACION_DOC_LC_INSERT.json,8,3.428571428571428,7
stg-to-ods-risk-data-base-es-2994b,_ETL_m_ODS_RD_05_FR_OPER.json,8,6.166666666666666,7
cluster-wf-dmr-load-t-21-30-2130,_ETL_m_DWH_D_GARAN_RECIBO_SG_RIESGO_UPDATE.json,8,3,7
comparator-securities-valors-4090,_ETL_m_ODS_F_VA_MOVIMIENTOS.json,8,5.714285714285714,7
stg-to-ods-mis-590-2-c,_ETL_m_ODS_F_MIS_CONTRATOS_DIARIO.json,8,6.166666666666667,7
stg-to-ods-collateral-system-2550c,_ETL_m_ODS_GR_13_EDIFICIO.json,8,7,7
comparator-mis-590-2-l,_ETL_m_ODS_TMA305_L_GEST_MES.json,8,5.142857142857142,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TGL08.json,8,4.199999999999999,7
cluster-wf-dwh-load-t-00-00-0000,_ETL_m_DWH_MOD_MOVIMIENTO_CVCM.json,8,4.857142857142857,7
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_SM_DYN_FIELD_VALUES.json,8,4.666666666666666,7
cluster-wf-dmr-load-t-21-30-2130,_ETL_m_DWH_E_D_GARAN_RECIBO_SG_RIESGO.json,8,5.714285714285714,7
stg-to-ods-payments-544-2-c,_ETL_m_ODS_TEX05.json,8,4.2,7
stg-to-ods-db-sas-46485-3-b,_ETL_m_ODS_SPM_PIMG_NO_PD.json,8,7.142857142857143,7
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_CONSENT.json,8,5.4,7
stg-to-ods-mis-590-2-e,_ETL_m_STG_MOD_CONTRATOS_DIARIO.json,8,5.571428571428571,7
comparator-electronic-banking-4845,_ETL_m_ODS_TEB55_LIBRADO.json,8,5.428571428571428,7
cluster-wf-dwh-load-t-05-50-0550,_ETL_m_DM_LKP_LIBRADOS_EB.json,8,3.833333333333334,7
stg-to-ods-guarantees-confirming6,_ETL_m_ODS_TAV_03_MOVIMIENTOS.json,8,5.2,7
stg-to-ods-wealth-manager-49067-1,_ETL_m_ODS_XE_PROPUESTA_INVERSION.json,8,5.5,7
stg-to-ods-mis-590-2-e,_ETL_m_STG_MOD_CONTRATOS_MENSUAL.json,8,6.5,7
cluster-wf-dwh-load-t-03-00-0300,_ETL_m_DWH_LKP_MOV_CERTIFICADOS.json,8,6,7
cluster-wf-load-info-0b0b02e5-0645,_ETL_m_DWH_D_DETALLE_EX3D_INSERT.json,8,4.666666666666667,7
stg-to-ods-wealth-manager-49067-1,_ETL_m_ODS_XE_CUST_ASE_PORT.json,8,5.833333333333334,7
cluster-wf-dwh-load-t-22-31-2231,_ETL_m_DM_CRM_HIER_PRODMIS.json,8,3.4,7
comparator-warning-risk-47605-1-a,_ETL_m_ODS_AR_ALARMA_RAI.json,8,5.5,7
stg-to-ods-securities-valors-409e,_ETL_m_ODS_TJH_25_ANULACIONES.json,8,7.333333333333333,7
stg-to-ods-collateral-system-2550c,_ETL_m_ODS_F_GR_REL_RIE_GTIA.json,8,7,7
stg-to-ods-sfe-activa-cliente-2556,_ETL_m_ODS_ACT_TASK_FOLLOW_UP.json,8,7.428571428571429,7
cluster-wf-dwh-load-t-05-50-0550,_ETL_m_DWH_E_MOD_DB_DIRECT_EB_SIN_LIMITES.json,8,5.285714285714286,7
cluster-wf-load-pulse-main,_ETL_m_DM_MOD_PULSE_COGESTION_PAR.json,8,5.285714285714286,7
cluster-wf-load-info-7e158412-0345,_ETL_m_DWH_E_SITUACION_ANTERIOR_PM.json,8,5.714285714285714,7
comparator-risk-data-base-es-29944,_ETL_m_ODS_RC_03_FR_CLI_CONT.json,8,5,7
cluster-wf-load-info-1e0fd893-0800,_ETL_m_DM_LKP_PROT_BALANCE_PAR.json,8,5.142857142857142,7
stg-to-ods-collateral-system-2550c,_ETL_m_ODS_GR_19_RELCOMPRA.json,8,5,7
cluster-wf-dmr-load-t-04-35-0435,_ETL_m_DWH_E_MOD_ORDENES_CLIENTE_VL_VA_TJH11.json,8,5.142857142857143,7
cluster-wf-dmr-load-t-06-15-0615,_ETL_m_DWH_L_BIEN_INSERT.json,8,3.333333333333333,7
stg-to-ods-payments-544-2-d,_ETL_m_ODS_TEX_12.json,8,5.25,7
cluster-wf-load-info-25f3c2ad-0000,_ETL_m_DWH_F_ALERTAS_ENVIADAS_CLIE.json,8,4.666666666666667,7
stg-to-ods-mis-590-2-f,_ETL_m_STG_LKP_DETALLE_OPERACIONES_MIS.json,8,5.2,7
